sector,source,destination,Z_2000,Z_2001,Z_2002,Z_2003,Z_2004,Z_2005,Z_2006,Z_2007,Z_2008,Z_2009,Z_2010,Z_2011,Z_2012,Z_2013,Z_2014,simpleaverage2000,simpleaverage2001,simpleaverage2002,simpleaverage2003,simpleaverage2004,simpleaverage2005,simpleaverage2006,simpleaverage2007,simpleaverage2008,simpleaverage2009,simpleaverage2010,simpleaverage2011,simpleaverage2012,simpleaverage2013,simpleaverage2014,weightedaverage2000,weightedaverage2001,weightedaverage2002,weightedaverage2003,weightedaverage2004,weightedaverage2005,weightedaverage2006,weightedaverage2007,weightedaverage2008,weightedaverage2009,weightedaverage2010,weightedaverage2011,weightedaverage2012,weightedaverage2013,weightedaverage2014,value2000,value2001,value2002,value2003,value2004,value2005,value2006,value2007,value2008,value2009,value2010,value2011,value2012,value2013,value2014
Textiles,BRA,GBR,5.934124,5.5234866,5.4022436,5.2243137,5.1609569,4.8236704,4.717464,4.799221,4.6580114,4.3626719,4.2079773,4.2497144,4.0495086,4.006865,3.9652565,1.05575,1.0541667,1.0513667,1.0496167,1.0485333,1.0502167,1.04655,1.0485667,1.0478833,1.0467,1.0657167,1.0473499,1.0479667,1.0470166,1.0643834,1.0558333,1.0560666,1.0541334,1.0527333,1.05205,1.05575,1.0524,1.0523167,1.052,1.0506166,1.0662333,1.0477834,1.0467666,1.0431833,1.0587,.12228514,.13393447,.14771652,.14306659,.16544798,.23195332,.26848999,.28036353,.33248013,.27308446,.24574666,.13790427,.060575746,.057249431,.045735631
Textiles,BRA,IDN,5.934124,5.5234866,5.4022436,5.2243137,5.1609569,4.8236704,4.717464,4.799221,4.6580114,4.3626719,4.2079773,4.2497144,4.0495086,4.006865,3.9652565,1.03835,1.0854666,1.0707,1.0885501,1.0839,1.0722333,1.075,1.0666666,1.075,1.125,1.0803666,1.0745333,1.0722333,1.0835333,1.0734167,1.0331,1.0827334,1.0684333,1.0897,1.0822333,1.0666666,1.0713333,1.0666666,1.0679001,1.125,1.0784,1.0717334,1.0681334,1.0915333,1.0668333,.001367139,.001215331,.001688603,.001292151,.0022259429,.0079765161,.025088474,.027031681,.069306895,.030978195,.039754778,.033548102,.018136,.029894695,.041411739
Textiles,BRA,IND,5.934124,5.5234866,5.4022436,5.2243137,5.1609569,4.8236704,4.717464,4.799221,4.6580114,4.3626719,4.2079773,4.2497144,4.0495086,4.006865,3.9652565,1.2671,1.25625,1.2291666,1.2072001,1.2035667,1.1395,1.11825,1.1051333,1.08145,1.10805,1.0404,1.08125,1.08125,1.0833334,1.0814667,1.2891667,1.2939501,1.2389666,1.229,1.2191334,1.1423833,1.1237334,1.1419333,1.0977833,1.15785,1.06435,1.07845,1.07845,1.0876,1.0897666,.011116802,.010532007,.016304733,.024384361,.019390563,.024199642,.031216072,.026683837,.024415337,.02496214,.030267909,.02385626,.025700856,.028770629,.031050501
Textiles,BRA,JPN,5.934124,5.5234866,5.4022436,5.2243137,5.1609569,4.8236704,4.717464,4.799221,4.6580114,4.3626719,4.2079773,4.2497144,4.0495086,4.006865,3.9652565,1.0582167,1.0858166,1.09015,1.0867333,1.0891334,1.0888667,1.0905,1.0895499,1.0883167,1.0865833,1.08345,1.0899167,1.0912833,1.0600834,1.06005,1.05585,1.0846334,1.0856667,1.08285,1.0835834,1.0907667,1.08455,1.084,1.0849167,1.0823166,1.0787333,1.0833666,1.0870167,1.0788,1.0654334,.05365546,.076802813,.067679979,.076084666,.089425392,.087870061,.088426284,.086805865,.091420256,.050850935,.069602445,.075050928,.076503731,.069470488,.10665048
Textiles,BRA,KOR,5.934124,5.5234866,5.4022436,5.2243137,5.1609569,4.8236704,4.717464,4.799221,4.6580114,4.3626719,4.2079773,4.2497144,4.0495086,4.006865,3.9652565,1.0883334,1.085,1.0922166,1.0879999,1.0927167,1.0887667,1.0923001,1.0887667,1.0811167,1.0875833,1.1076167,1.0777167,1.0711167,1.0724499,1.0871999,1.0790666,1.0825167,1.0847666,1.0869499,1.09005,1.0865333,1.08375,1.0835333,1.0761833,1.0847501,1.0972834,1.0763834,1.0863334,1.0830001,1.0862334,.022342179,.023471024,.02669334,.015455146,.036953487,.052180424,.050195698,.052864201,.029885033,.025305009,.063990571,.10043874,.099060893,.10261966,.15419681
Textiles,BRA,MEX,5.934124,5.5234866,5.4022436,5.2243137,5.1609569,4.8236704,4.717464,4.799221,4.6580114,4.3626719,4.2079773,4.2497144,4.0495086,4.006865,3.9652565,1.2179333,1.2122166,1.23365,1.2121166,1.1816666,1.1628667,1.1449,1.1589334,1.1378,1.1449667,1.0970167,1.1264499,1.1108999,1.1204166,1.0763166,1.2309833,1.2149667,1.2274166,1.2294,1.1877834,1.16475,1.1229833,1.1257501,1.1012332,1.1132666,1.0872667,1.0801001,1.0863667,1.0809166,1.0513333,.04636845,.077470578,.11034797,.16772147,.17224725,.22798176,.18982184,.18885405,.19532065,.12203775,.13497931,.24175666,.26256737,.22335106,.34240299
Textiles,BRA,ROW,5.934124,5.5234866,5.4022436,5.2243137,5.1609569,4.8236704,4.717464,4.799221,4.6580114,4.3626719,4.2079773,4.2497144,4.0495086,4.006865,3.9652565,1.0012265,1.0012648,1.0010513,1.0008826,1.0008317,1.000901,1.0009903,1.0009432,1.0009713,1.0009418,1.0009083,1.0008709,1.0007997,1.0007997,1.0009273,1.0012488,1.0012529,1.000991,1.0007501,1.0007241,1.0008016,1.000924,1.0009029,1.0008163,1.0008398,1.0008363,1.0008363,1.0007997,1.0007855,1.0007721,2.1548951,2.1594017,1.5253241,2.1830907,2.7249739,2.9668295,3.3754144,3.6625741,3.614326,2.3942788,3.189265,3.8135018,3.674855,3.8079112,3.8782256
Textiles,BRA,RUS,5.934124,5.5234866,5.4022436,5.2243137,5.1609569,4.8236704,4.717464,4.799221,4.6580114,4.3626719,4.2079773,4.2497144,4.0495086,4.006865,3.9652565,1,1.0875001,1.1291749,1,1,1.105,1,1.0559334,1.0486,1.05415,1,1.0520334,1.06415,1.1002667,1.0444334,1,1.0875001,1.134825,1,1,1.1095667,1,1.0470333,1.0294167,1.0368166,1,1.0454167,1.0598,1.0970833,1.0479833,.0042466968,.0087517174,.01296919,.017415158,.016097995,.02134221,.034717616,.050263923,.10123919,.11072673,.16103671,.18434313,.17386632,.18007714,.11028749
Textiles,BRA,TUR,5.934124,5.5234866,5.4022436,5.2243137,5.1609569,4.8236704,4.717464,4.799221,4.6580114,4.3626719,4.2079773,4.2497144,4.0495086,4.006865,3.9652565,1.0603167,1.0664999,1.0628166,1.0703833,1.0696833,1.0498,1.0499333,1.0481167,1.0503167,1.0516,1.05035,1.0470667,1,1.04475,1,1.0688167,1.08725,1.0575,1.0634167,1.07265,1.0498834,1.0462,1.04705,1.0447167,1.0476167,1.0454834,1.0444833,1,1.0503167,1,.001869892,.0040364922,.006287056,.011628225,.013867842,.014472601,.013026077,.013608888,.020091368,.014280545,.018042594,.026917726,.014508491,.013277563,.011156948
Textiles,BRA,USA,5.934124,5.5234866,5.4022436,5.2243137,5.1609569,4.8236704,4.717464,4.799221,4.6580114,4.3626719,4.2079773,4.2497144,4.0495086,4.006865,3.9652565,1.0641667,1.06055,1.05835,1.0551,1.0553666,1.05735,1.0574,1.05555,1.0565166,1.0549667,1.0566334,1.0567666,1.05485,1.0531666,1.0530499,1.0651166,1.0661,1.0665333,1.0695,1.0675167,1.06885,1.0659333,1.0612833,1.0535667,1.0496,1.0474833,1.0503333,1.0513999,1.0486,1.0512667,1.5518966,1.6968491,1.8402452,1.966723,2.1231449,2.0191762,1.9358068,1.6561539,1.2967814,.96160591,1.0059314,.69626421,.72651583,.73207879,.82352096
